Video ID,Playlist Video Creation Timestamp
lIW5jBrrsS0,2020-03-05T12:39:43+00:00
U0BmtjNgOak,2020-03-11T02:18:03+00:00
iRWp9rhfS_0,2020-03-24T12:03:11+00:00
HuC1lcS2FlQ,2020-03-24T12:03:22+00:00
z9vMczQ3jiM,2020-04-29T03:44:43+00:00
CIpKz7YCoNQ,2020-06-14T17:42:15+00:00
ePeAG8WSIlY,2020-08-26T11:27:08+00:00
L9EK9MwTuWs,2020-08-29T16:26:45+00:00
KrBAdcseI6I,2020-08-29T18:10:02+00:00
Jq8B2wCY6Ns,2020-08-29T18:15:41+00:00
 -SK9qdNi2X0,2020-08-29T18:20:10+00:00
F8D0yTRpUJI,2020-10-08T05:23:17+00:00
ltFWyxuRNrM,2020-11-08T17:46:05+00:00
9UwOdFzPTH4,2020-11-08T18:10:32+00:00
mCcPA4HuRig,2020-11-08T18:15:33+00:00
CX_ov9N91Sg,2021-08-08T08:00:58+00:00
3VsxjbpMTao,2021-08-09T01:49:58+00:00
RfL0H9IiU9s,2021-08-10T04:53:30+00:00
LN24xuhydEI,2022-07-02T07:06:19+00:00
fDOn78BpBfU,2022-07-19T07:33:45+00:00
hCLdAL7v3vo,2022-07-19T19:57:48+00:00
A2sS00egAzg,2022-07-22T14:18:33+00:00
Cfm4KkZB5BU,2022-07-28T10:17:45+00:00
JUkSeqe1eYQ,2022-07-28T10:44:59+00:00
MqdPmNKLZ04,2022-08-28T14:21:41+00:00
ghZZB_7HFS8,2022-09-15T14:49:29+00:00
3VCxkMvKUnA,2022-09-15T20:06:27+00:00
o1FZ-DXb4Ts,2022-09-16T13:51:42+00:00
HctZg2aOPMw,2023-09-09T05:27:19+00:00
EqxiXsTPe6U,2023-09-12T17:35:47+00:00
JpWhBY6DjrQ,2024-01-28T06:20:39+00:00
FsztuzyXdhY,2024-10-26T23:11:13+00:00





