Video ID,Playlist Video Creation Timestamp
Xho87HJ-XDo,2020-06-14T17:41:17+00:00
M9LCCwP0tTg,2020-06-14T17:41:26+00:00
pqXCswoa3F4,2020-06-14T17:41:30+00:00
p-raTJt0KPw,2020-06-14T17:41:33+00:00
4CB-FB_KoDs,2020-06-14T17:41:37+00:00
6yPKMSb6ja8,2020-06-14T17:41:40+00:00
tuZzHcmFtg4,2020-06-14T17:41:44+00:00
sZwM87-nsYA,2020-06-14T17:41:51+00:00
IW9hz1kZP2I,2020-06-14T17:42:08+00:00
mEHngx2GDpM,2020-06-14T17:42:26+00:00
ub7lok-JQJE,2020-06-14T17:42:32+00:00
8AZ8GqW5iak,2020-06-14T17:42:42+00:00
tIoJhqnOc0M,2020-06-14T17:42:46+00:00
gfyCzLbcAvk,2020-06-14T17:42:51+00:00
cPn3UOt1lxw,2020-06-14T17:42:55+00:00
IFWbxZrjWhM,2020-06-14T17:42:59+00:00
eTOKXCEwo_8,2020-06-18T12:59:24+00:00
oTTOvfdns8g,2020-06-22T06:13:15+00:00





