Video ID,Playlist Video Creation Timestamp
pQa_tWZmlGs,2018-08-03T19:42:37+00:00
MQgC2nI6Wu4,2018-10-15T16:00:57+00:00
A2JCoIGyGxc,2018-11-16T13:48:17+00:00
NNiie_zmSr8,2018-11-22T12:35:59+00:00
C5SwcrVnyLc,2018-12-04T00:48:49+00:00
zORUUqJd81M,2019-01-20T14:09:28+00:00
O4ndIDcDSGc,2019-01-20T14:33:25+00:00
l3T4SL6lEIE,2019-03-02T16:03:48+00:00
1JZG9x_VOwA,2019-04-09T06:00:16+00:00
i5gAZzZjYwg,2019-05-17T12:48:22+00:00
rG3rOdFUcTg,2020-02-10T14:00:47+00:00
1l2WFl1EqwM,2020-03-12T01:19:44+00:00
5EE8m8mmq1k,2020-06-20T08:55:12+00:00
O8UoAASCUsQ,2020-06-22T04:41:53+00:00
K-pOCseEXKI,2020-09-22T09:18:26+00:00
kPnweOCTnZI,2020-10-05T13:45:20+00:00
mCcPA4HuRig,2020-11-08T18:15:35+00:00
q0hyr1mxDWc,2020-11-08T18:16:19+00:00
OmehC5MJDHE,2020-11-24T09:25:51+00:00
IYDqZ_ZwzQA,2020-12-01T17:59:24+00:00
pxGrc64gViQ,2020-12-22T16:33:22+00:00
_bYFu9mBnr4,2021-01-16T07:59:37+00:00
xfzGZB4HhEE,2021-01-18T17:12:59+00:00
kyjlxsLW1Is,2021-02-12T07:02:59+00:00
E56egH10RJA,2021-02-21T13:34:45+00:00
Nw7r4i6Ixio,2021-02-21T14:06:04+00:00
Pp7pSlwIlLA,2021-03-22T05:51:19+00:00
0B3kgiLxybY,2021-04-06T16:06:19+00:00
G1gSGPg3UQg,2021-04-06T16:09:37+00:00
MAlSjtxy5ak,2021-04-10T03:50:54+00:00
fB7nyxXaczY,2021-04-10T10:38:46+00:00
uZWKuUymKdM,2021-04-10T18:01:31+00:00
0LwCdwRF64g,2021-04-12T09:27:54+00:00
zL52lG6aNIY,2021-04-13T12:56:15+00:00
8Au47gnXs0w,2021-04-14T10:06:44+00:00
mVqgzW2V9OA,2021-04-14T10:07:41+00:00
ukeXX-uMzpU,2021-04-14T13:09:16+00:00
zNFkzq1AUoY,2021-04-15T04:14:41+00:00
ic5R4C5HRUg,2021-04-27T15:46:26+00:00
odHk_oUvew8,2021-04-27T15:47:27+00:00
MAPumW_wYKc,2021-04-27T15:48:55+00:00
81GQNPJip2Y,2021-04-28T07:28:19+00:00
sGG-A80Tl5g,2021-04-30T08:15:46+00:00
kICh_d6tHQk,2021-04-30T08:21:15+00:00
htSE-oDXliQ,2021-05-19T14:03:25+00:00
 -iqiRCQWRmA,2021-05-21T04:42:37+00:00
ZiSRCPiklhI,2021-05-21T04:42:55+00:00
V7LEihbOv3Y,2022-02-07T13:22:10+00:00
YZR6P6Q0tmc,2022-07-12T04:23:18+00:00
4wD00RT6d-g,2022-07-12T04:26:25+00:00
860d8usGC0o,2022-07-12T04:27:48+00:00
fDOn78BpBfU,2022-07-19T07:33:46+00:00
Vk2tuJ683JU,2022-08-28T13:36:52+00:00
72D3MvPk3Xs,2022-09-14T13:37:55+00:00
ghZZB_7HFS8,2022-09-15T14:49:28+00:00
ZXd0LN7g3GE,2024-02-22T18:18:22+00:00
FsztuzyXdhY,2024-10-26T23:11:15+00:00





